id;status;message;created;sent_at;resolved_at
1;RESOLVED;durer;2025-08-30T19:09:43;2025-08-30T10:10:59;2025-08-30T06:15:07
2;RESOLVED;à partir de;2025-08-30T06:56:59;2025-08-30T16:43:24;2025-08-30T17:52:28
3;RESOLVED;avant que;2025-08-29T23:13:17;2025-08-30T18:49:10;2025-08-30T01:54:39
4;RESOLVED;quasi;2025-08-30T16:37:41;2025-08-30T05:32:21;2025-08-29T22:23:11
5;PENDING;dedans clientèle;2025-08-30T18:25:29;2025-08-30T20:28:05;2025-08-30T06:01:29
6;RESOLVED;au cas où sombrer;2025-08-29T21:44:38;2025-08-30T18:43:33;2025-08-30T08:56:46
7;PARTIALLY_SENT;chef patientèle;2025-08-30T20:27:47;2025-08-30T02:37:35;2025-08-30T15:43:38
8;PENDING;croâ séculaire;2025-08-30T13:38:26;2025-08-30T01:54:26;2025-08-29T21:06:45
9;SENT;approximativement jusqu’à ce que;2025-08-29T21:50:28;2025-08-30T09:51:25;2025-08-30T08:17:20
10;PENDING;priver durant;2025-08-30T07:28:33;2025-08-30T20:44:58;2025-08-30T06:15:25
