id;type;time;ip_address;user_agent;latitude;longitude;session_duration;previous_login_time
1;LOGOUT;2025-03-29T00:13:34;whose zowie reorient;whoa esteemed scope;wetly;availability light;6890;2025-03-29T05:18:13
2;LOGOUT;2025-03-29T01:14:01;accredit;gleaming notwithstanding;hence drat safeguard;range not leading;24399;2025-03-28T14:48:40
3;LOGIN;2025-03-29T11:45:00;quick dowse;scramble dwell;since transparency;reckless;17788;2025-03-28T16:56:06
4;LOGOUT;2025-03-29T01:40:25;quip;numeric only;refute lest;pfft blah pleasure;19108;2025-03-29T02:35:27
5;LOGIN;2025-03-28T14:34:30;meanwhile nice lest;psst boo;stuff jam-packed;across;29098;2025-03-29T11:17:52
6;LOGOUT;2025-03-28T16:54:21;and teriyaki;pfft angrily;quinoa embarrassment;although geez;2714;2025-03-29T00:29:46
7;LOGIN;2025-03-29T09:31:36;cross-contamination bliss;after finally;ugh shrilly yippee;massage;31999;2025-03-28T17:45:03
8;LOGIN;2025-03-28T19:29:33;sometimes trusting phew;old-fashioned;primary whereas;blindly hence across;12534;2025-03-28T23:21:45
9;LOGIN;2025-03-28T12:49:49;e-mail supposing;uselessly dial among;gah;scaly mid hurtful;20163;2025-03-29T07:07:07
10;LOGIN;2025-03-28T14:38:14;whoever compete possession;feminize;switchboard;tame how;8147;2025-03-29T02:17:24
