id;type;content;sent_at;delivered_at
1;PUSH;empêcher cadre toutefois;2025-08-30T16:31:40;2025-08-30T02:20:44
2;WHATSAPP;tsoin-tsoin;2025-08-29T23:26:06;2025-08-30T00:39:37
3;EMAIL;parfois hystérique conseil d’administration;2025-08-30T01:19:29;2025-08-30T17:35:22
4;PUSH;concevoir lorsque pourpre;2025-08-30T12:06:04;2025-08-30T10:46:26
5;EMAIL;autour ouah;2025-08-29T22:50:18;2025-08-30T11:38:38
6;PUSH;comment monter coin-coin;2025-08-30T17:43:17;2025-08-29T21:51:35
7;SMS;dehors par;2025-08-30T06:33:26;2025-08-30T09:39:13
8;PUSH;au-delà au défaut de touriste;2025-08-29T22:39:35;2025-08-30T02:31:39
9;WHATSAPP;arrêter mairie;2025-08-30T08:20:03;2025-08-30T01:18:18
10;EMAIL;tant commis de cuisine communauté étudiante;2025-08-30T13:55:40;2025-08-30T00:01:39
