id;email_enabled;sms_enabled;push_enabled;quiet_hours_start;quiet_hours_end
1;true;true;false;2025-03-29T06:21:35;2025-03-28T20:48:11
2;true;true;false;2025-03-28T17:22:19;2025-03-28T18:50:23
3;false;true;false;2025-03-28T19:59:04;2025-03-28T22:01:18
4;false;true;true;2025-03-28T17:20:37;2025-03-28T21:17:56
5;false;false;false;2025-03-29T03:58:54;2025-03-28T15:08:26
6;false;false;true;2025-03-29T04:41:19;2025-03-28T21:31:26
7;false;false;true;2025-03-28T21:34:48;2025-03-28T19:09:51
8;true;true;false;2025-03-29T02:15:37;2025-03-28T17:15:56
9;false;true;false;2025-03-29T10:25:30;2025-03-28T14:32:26
10;true;false;true;2025-03-29T02:11:04;2025-03-28T16:31:40
