id;plan;max_watch_list_items;max_users;max_emails_per_month;max_sms_per_month;price;billing_cycle;trial_period_days;active;notification_types
1;for;14840;23281;7639;21168;19495.63;YEARLY;17400;false;SMS
2;ick delight;16558;2833;26528;29867;8911.7;MONTHLY;8304;false;PUSH
3;heartache whereas frightfully;18273;12198;3127;24389;7177.87;MONTHLY;5574;false;SMS
4;minus design sizzling;21480;1414;26270;25381;16729.29;YEARLY;7345;true;EMAIL
5;hold purse;21585;5406;9818;4268;32685.12;MONTHLY;6641;true;PUSH
6;pfft polyester unto;11184;7340;22911;30004;14767.38;MONTHLY;31187;true;EMAIL
7;voluntarily awkwardly;2820;2702;28629;7966;31007.36;MONTHLY;24141;false;PUSH
8;yippee without perp;17879;26184;2868;25663;27816.55;YEARLY;16878;false;EMAIL
9;who over;4881;15354;26819;25316;17746.06;MONTHLY;20222;false;PUSH
10;ha yuck pace;266;25413;23465;3837;10613.62;MONTHLY;2571;true;SMS
